,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
26,Istanbul,Istanbul,Turkey,2015.04.27,"€494,310",Roger Federer,Clay,/en/scores/archive/istanbul/7163/2015/results,2015
27,Munich,Munich,Germany,2015.04.27,"€494,310",Andy Murray,Clay,/en/scores/archive/munich/308/2015/results,2015
28,ATP Masters 1000 Madrid,Madrid,Spain,2015.05.03,"€5,113,730",Andy Murray,Clay,/en/scores/archive/madrid/1536/2015/results,2015
29,ATP Masters 1000 Rome,Rome,Italy,2015.05.10,"€3,830,295",Novak Djokovic,Clay,/en/scores/archive/rome/416/2015/results,2015
30,Geneva,Geneva,Switzerland,2015.05.17,"€494,310",Thomaz Bellucci,Clay,/en/scores/archive/geneva/322/2015/results,2015
31,Nice,Nice,France,2015.05.17,"€494,310",Dominic Thiem,Clay,/en/scores/archive/nice/6120/2015/results,2015
32,Roland Garros,Paris,France,2015.05.24,"€13,008,000",Stan Wawrinka,Clay,/en/scores/archive/roland-garros/520/2015/results,2015
33,Stuttgart,Stuttgart,Germany,2015.06.08,"€642,070",Rafael Nadal,Grass,/en/scores/archive/stuttgart/321/2015/results,2015
34,s-Hertogenbosch,s-Hertogenbosch,Netherlands,2015.06.08,"€604,155",Nicolas Mahut,Grass,/en/scores/archive/s-hertogenbosch/440/2015/results,2015
35,Halle,Halle,Germany,2015.06.15,"€1,696,645",Roger Federer,Grass,/en/scores/archive/halle/500/2015/results,2015
36,London / Queen's Club,London,Great Britain,2015.06.15,"€1,696,645",Andy Murray,Grass,/en/scores/archive/london/311/2015/results,2015
37,Nottingham,Nottingham,Great Britain,2015.06.21,"€644,065",Denis Istomin,Grass,/en/scores/archive/nottingham/741/2015/results,2015
38,Wimbledon,London,Great Britain,2015.06.29,"£12,568,000",Novak Djokovic,Grass,/en/scores/archive/wimbledon/540/2015/results,2015
39,Newport,Newport,United States,2015.07.13,"$549,230",Rajeev Ram,Grass,/en/scores/archive/newport/315/2015/results,2015
40,Bogota,Bogota,Colombia,2015.07.20,"$768,915",Bernard Tomic,Hard,/en/scores/archive/bogota/6718/2015/results,2015
41,Bastad,Bastad,Sweden,2015.07.20,"€494,310",Benoit Paire,Clay,/en/scores/archive/bastad/316/2015/results,2015
42,Umag,Umag,Croatia,2015.07.20,"€494,310",Dominic Thiem,Clay,/en/scores/archive/umag/439/2015/results,2015
