,FootballTeam,Country,City,Stadium,Capacity
337,Celtic,Scotland,Glasgow,Celtic Park,"60,500"
338,Partick Thistle,Scotland,Glasgow,Firhill Stadium,"10,887"
339,Queens Park,Scotland,Glasgow,Hampden Park,"52,000"
340,Rangers,Scotland,Glasgow,Ibrox Stadium,"51,082"
341,Hamilton Academical,Scotland,Hamilton,SuperSeal Stadium,"5,510"
342,Kilmarnock,Scotland,Kilmarnock,Rugby Park,"18,128"
343,Inverness Caledonian Thistle,Scotland,Inverness,Tulloch Caledonian Stadium,"7,750"
344,Motherwell,Scotland,Motherwell,Fir Park,"13,750"
345,St Mirren,Scotland,Paisley,St Mirren Park,"8,023"
346,St Johnstone,Scotland,Perth,McDiarmid Park,"10,700"
347,Crvena Zvezda,Serbia,Belgrade,Stadion Crvena Zvezda,"53,000"
348,FK Partisan,Serbia,Belgrade,Stadion Partizana,"32,710"
349,FK Vojvodina,Serbia,Novi Sad,Stadion Karadorde,"14,458"
350,Deportivo de La Coruna,Spain,A Coruna,Estadio ABANCA-Riazor,"32,660"
351,AD Alcorcon,Spain,Alcorcon,Estadio Municipal de Santo Domingo,"5,880"
352,Alicante CF,Spain,Alicante,Estadio Jose Rico Perez,"29,500"
353,UD Almeria,Spain,Almeria,Estadio de los Juegos Mediterraneos,"15,000"
354,Barakaldo CF,Spain,Barakaldo,Campo de Lasesarre,"7,960"
355,FC Barcelona,Spain,Barcelona,Camp Nou,"99,354"
356,RCD Espanyol,Spain,Barcelona,RCDE Stadium,"40,500"
357,Athletic Club,Spain,Bilbao,Estadio San Mames,"53,000"
358,Cadiz CF,Spain,Cadiz,Nuevo Estadio Ramon de Carranza,"20,000"
359,FC Cartagena,Spain,Cartagena,Estadio Cartagonova,"15,105"
360,Cordoba CF,Spain,Cordoba,Estadio El Arcangel,"20,989"
361,SD Eibar,Spain,Eibar,Estadio de Ipurua,"7,083"
362,Elche CF,Spain,Elche,Estadio Martinez Valero,"36,017"
363,Getafe CF,Spain,Getafe,Coliseum Alfonso Perez,"17,500"
364,Real Sporting de Gijon,Spain,Gijon,Estadio El Molinon,"30,000"
